Feb/Mars;Fajr;Shuruq;Zuhr;Asr;Maghrib;Isha
29;Torsdag;05:06;06:48;12:07;14:36;17:19;18:55
1;Fredag;05:04;06:45;12:07;14:40;17:24;18:59
2;Lördag;05:01;06:42;12:06;14:41;17:27;19:01
3;Söndag;04:59;06:39;12:06;14:43;17:29;19:04
4;Mandag;04:56;06:36;12:06;14:45;17:31;19:06
5;Tisdag;04:54;06:34;12:06;14:46;17:34;19:08
6;Onsdag;04:51;06:31;12:05;14:48;17:36;19:10
7;Torsdag;04:48;06:28;12:05;14:50;17:39;19:12
8;Fredag;04:46;06:25;12:05;14:51;17:41;19:14
9;Lördag;04:43;06:22;12:05;14:53;17:43;19:17
10;Söndag;04:40;06:19;12:05;14:54;17:46;19:19