Ramadan;Dag;Fajr;Shuruq;Zuhr;Asr;Maghrib;Isha
1;Mandag;04:38;06:16;12:04;14:56;17:48;19:21
2;Tisdag;04:35;06:14;12:04;14:58;17:50;19:23
3;Onsdag;04:32;06:11;12:04;14:59;17:53;19:25
4;Torsdag;04:30;06:08;12:03;15:01;17:55;19:27
5;Fredag;04:27;06:05;12:03;15:02;17:57;19:30
6;Lördag;04:24;06:02;12:03;15:04;18:00;19:32
7;Söndag;04:21;05:59;12:03;15:05;18:02;19:34
8;Mandag;04:19;05:56;12:02;15:07;18:04;19:36
9;Tisdag;04:16;05:53;12:02;15:08;18:07;19:38
10;Onsdag;04:13;05:50;12:02;15:10;18:09;19:40
11;Torsdag;04:10;05:48;12:01;15:11;18:11;19:43
12;Fredag;04:07;05:45;12:01;15:12;18:13;19:45
13;Lördag;04:05;05:42;12:01;15:14;18:16;19:47
14;Söndag;04:02;05:39;12:00;15:15;18:18;19:49
15;Mándag;03:59;05:36;12:00;15:17;18:20;19:51
16;Tisdag;03:56;05:33;12:00;15:18;18:23;19:54
17;Onsdag;03:53;05:30;11:59;15:19;18:25;19:56
18;Torsdag;03:50;05:27;11:59;15:21;18:27;19:58
19;Fredag;03:47;05:24;11:59;15:22;18:29;20:00
20;Lördag;03:45;05:21;11:59;15:23;18:32;20:02
21;Söndag;04:42;06:18;12:58;16:25;19:34;21:05
22;Mandag;04:39;06:15;12:58;16:26;19:36;21:07
23;Tisdag;04:36;06:12;12:58;16:27;19:39;21:09
24;Onsdag;04:33;06:10;12:57;16:29;19:41;21:11
25;Torsdag;04:30;06:07;12:57;16:30;19:43;21:14
26;Fredag;04:27;06:04;12:57;16:31;19:46;21:16
27;Lördag;04:24;06:01;12:56;16:32;19:48;21:18
28;Söndag;04:21;05:58;12:56;16:34;19:50;21:21
29;Mandag;04:19;05:55;12:56;16:35;19:52;21:23
30;Tisdag;04:16;05:52;12:55;16:36;19:55;21:25